Gene stable ID	Gene stable ID version	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Plex1	Plex19	Plex70
ENSG00000224607	ENSG00000224607.3	IGKV1D-27	immunoglobulin kappa variable 1D-27 (pseudogene) [Source:HGNC Symbol;Acc:5751]	2	90007677	90008154			
ENSG00000211623	ENSG00000211623.2	IGKV2D-26	immunoglobulin kappa variable 2D-26 [Source:HGNC Symbol;Acc:5798]	2	90024732	90025512			
ENSG00000254097	ENSG00000254097.1	IGKV3D-25	immunoglobulin kappa variable 3D-25 (pseudogene) [Source:HGNC Symbol;Acc:5826]	2	90028797	90029031			
ENSG00000241566	ENSG00000241566.1	IGKV2D-24	immunoglobulin kappa variable 2D-24 (non-functional) [Source:HGNC Symbol;Acc:5797]	2	90043607	90044439			
ENSG00000254345	ENSG00000254345.1	IGKV2D-23	immunoglobulin kappa variable 2D-23 (pseudogene) [Source:HGNC Symbol;Acc:5796]	2	90048212	90048737			
ENSG00000253365	ENSG00000253365.1	IGKV1D-22	immunoglobulin kappa variable 1D-22 (pseudogene) [Source:HGNC Symbol;Acc:5750]	2	90049551	90049994			
ENSG00000225523	ENSG00000225523.2	IGKV6D-21	immunoglobulin kappa variable 6D-21 (non-functional) [Source:HGNC Symbol;Acc:5837]	2	90060377	90060995			
ENSG00000211625	ENSG00000211625.2	IGKV3D-20	immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:5825]	2	90077680	90078311			
ENSG00000253765	ENSG00000253765.1	IGKV2D-19	immunoglobulin kappa variable 2D-19 (pseudogene) [Source:HGNC Symbol;Acc:5795]	2	90085628	90085889			
ENSG00000254220	ENSG00000254220.1	IGKV2D-18	immunoglobulin kappa variable 2D-18 (pseudogene) [Source:HGNC Symbol;Acc:5794]	2	90091427	90092218			
ENSG00000211626	ENSG00000211626.2	IGKV6D-41	immunoglobulin kappa variable 6D-41 (non-functional) [Source:HGNC Symbol;Acc:5838]	2	90108504	90109080			
ENSG00000242766	ENSG00000242766.1	IGKV1D-17	immunoglobulin kappa variable 1D-17 [Source:HGNC Symbol;Acc:5749]	2	90121477	90122133			
ENSG00000241244	ENSG00000241244.1	IGKV1D-16	immunoglobulin kappa variable 1D-16 [Source:HGNC Symbol;Acc:5748]	2	90139078	90139580			
ENSG00000224041	ENSG00000224041.2	IGKV3D-15	immunoglobulin kappa variable 3D-15 (gene/pseudogene) [Source:HGNC Symbol;Acc:5824]	2	90153696	90154258			
ENSG00000254292	ENSG00000254292.1	IGKV2D-14	immunoglobulin kappa variable 2D-14 (pseudogene) [Source:HGNC Symbol;Acc:5793]	2	90160638	90161416			
ENSG00000211630	ENSG00000211630.2	IGKV1D-13	immunoglobulin kappa variable 1D-13 [Source:HGNC Symbol;Acc:5747]	2	90192768	90193424			
ENSG00000240834	ENSG00000240834.1	IGKV1D-12	immunoglobulin kappa variable 1D-12 [Source:HGNC Symbol;Acc:5746]	2	90198535	90199190			
ENSG00000211632	ENSG00000211632.2	IGKV3D-11	immunoglobulin kappa variable 3D-11 [Source:HGNC Symbol;Acc:5823]	2	90211643	90212253			
ENSG00000253906	ENSG00000253906.1	IGKV2D-10	immunoglobulin kappa variable 2D-10 (pseudogene) [Source:HGNC Symbol;Acc:5792]	2	90218730	90219428			
ENSG00000211633	ENSG00000211633.2	IGKV1D-42	immunoglobulin kappa variable 1D-42 (non-functional) [Source:HGNC Symbol;Acc:5757]	2	90229045	90229531			
ENSG00000242580	ENSG00000242580.1	IGKV1D-43	immunoglobulin kappa variable 1D-43 [Source:HGNC Symbol;Acc:5758]	2	90248739	90249395			
ENSG00000239819	ENSG00000239819.1	IGKV1D-8	immunoglobulin kappa variable 1D-8 [Source:HGNC Symbol;Acc:5759]	2	90259593	90260248			
ENSG00000235896	ENSG00000235896.2	IGKV3D-7	immunoglobulin kappa variable 3D-7 [Source:HGNC Symbol;Acc:5829]	2	90273679	90274235			
ENSG00000219041	ENSG00000219041.4	IGKV1OR2-118	immunoglobulin kappa variable 1/OR2-118 (pseudogene) [Source:HGNC Symbol;Acc:37488]	2	91679087	91679734			
ENSG00000235235	ENSG00000235235.5	IGKV1OR-1	immunoglobulin kappa variable 1/OR-1 (pseudogene) [Source:HGNC Symbol;Acc:5760]	2	92005797	92006650			
ENSG00000270748	ENSG00000270748.1	IGKV2OR2-1	immunoglobulin kappa variable 2/OR2-1 (pseudogene) [Source:HGNC Symbol;Acc:5805]	2	97712325	97712628			
ENSG00000271402	ENSG00000271402.1	IGKV2OR2-2	immunoglobulin kappa variable 2/OR2-2 (pseudogene) [Source:HGNC Symbol;Acc:5808]	2	97716466	97716765			
ENSG00000204670	ENSG00000204670.6	IGKV1OR2-3	immunoglobulin kappa variable 1/OR2-3 (pseudogene) [Source:HGNC Symbol;Acc:5769]	2	97725682	97726152			
ENSG00000270187	ENSG00000270187.1	IGKV1OR2-11	immunoglobulin kappa variable 1/OR2-11 (pseudogene) [Source:HGNC Symbol;Acc:5768]	2	97987331	97987617			
ENSG00000271226	ENSG00000271226.1	IGKV2OR2-10	immunoglobulin kappa variable 2/OR2-10 (pseudogene) [Source:HGNC Symbol;Acc:5806]	2	97996726	97997025			
ENSG00000271015	ENSG00000271015.1	IGKV2OR2-7	immunoglobulin kappa variable 2/OR2-7 (pseudogene) [Source:HGNC Symbol;Acc:5810]	2	98000864	98001167			
ENSG00000271569	ENSG00000271569.1	IGKV1OR2-6	immunoglobulin kappa variable 1/OR2-6 (pseudogene) [Source:HGNC Symbol;Acc:5770]	2	98018364	98018640			
ENSG00000270252	ENSG00000270252.1	IGKV3OR2-5	immunoglobulin kappa variable 3/OR2-5 (pseudogene) [Source:HGNC Symbol;Acc:5832]	2	98024520	98024800			
ENSG00000270450	ENSG00000270450.1	IGKV2OR2-7D	immunoglobulin kappa variable 2/OR2-7D (pseudogene) [Source:HGNC Symbol;Acc:37489]	2	98037725	98038028			
ENSG00000271630	ENSG00000271630.1	IGKV2OR2-8	immunoglobulin kappa variable 2/OR2-8 (pseudogene) [Source:HGNC Symbol;Acc:5811]	2	98041867	98042166			
ENSG00000271351	ENSG00000271351.1	IGKV1OR2-9	immunoglobulin kappa variable 1/OR2-9 (pseudogene) [Source:HGNC Symbol;Acc:5771]	2	98051276	98051562			
ENSG00000231292	ENSG00000231292.5	IGKV1OR2-108	immunoglobulin kappa variable 1/OR2-108 (non-functional) [Source:HGNC Symbol;Acc:5767]	2	114163973	114164486			
ENSG00000227191	ENSG00000227191.2	TRGC2	T cell receptor gamma constant 2 [Source:HGNC Symbol;Acc:12276]	7	38279181	38289173			
ENSG00000211687	ENSG00000211687.1	TRGJ2	T cell receptor gamma joining 2 [Source:HGNC Symbol;Acc:12278]	7	38292981	38293030			
ENSG00000211688	ENSG00000211688.1	TRGJP2	T cell receptor gamma joining P2 [Source:HGNC Symbol;Acc:12281]	7	38295938	38295997			
ENSG00000211689	ENSG00000211689.2	TRGC1	T cell receptor gamma constant 1 [Source:HGNC Symbol;Acc:12275]	7	38297480	38305279			
ENSG00000211690	ENSG00000211690.1	TRGJ1	T cell receptor gamma joining 1 [Source:HGNC Symbol;Acc:12277]	7	38309092	38309141			
ENSG00000211691	ENSG00000211691.2	TRGJP	T cell receptor gamma joining P [Source:HGNC Symbol;Acc:12279]	7	38313188	38313248			
ENSG00000211692	ENSG00000211692.1	TRGJP1	T cell receptor gamma joining P1 [Source:HGNC Symbol;Acc:12280]	7	38315860	38315919			
ENSG00000211693	ENSG00000211693.2	TRGV11	T cell receptor gamma variable 11 (non-functional) [Source:HGNC Symbol;Acc:12286]	7	38331217	38331679			
ENSG00000231202	ENSG00000231202.1	TRGVB	T cell receptor gamma variable B (pseudogene) [Source:HGNC Symbol;Acc:12297]	7	38335364	38335834			
ENSG00000211694	ENSG00000211694.2	TRGV10	T cell receptor gamma variable 10 (non-functional) [Source:HGNC Symbol;Acc:12285]	7	38339412	38339923			
ENSG00000211695	ENSG00000211695.2	TRGV9	T cell receptor gamma variable 9 [Source:HGNC Symbol;Acc:12295]	7	38356618	38358462			
ENSG00000225992	ENSG00000225992.1	TRGVA	T cell receptor gamma variable A (pseudogene) [Source:HGNC Symbol;Acc:12296]	7	38362047	38362331			
ENSG00000211696	ENSG00000211696.2	TRGV8	T cell receptor gamma variable 8 [Source:HGNC Symbol;Acc:12294]	7	38369944	38370536			
ENSG00000249978	ENSG00000249978.1	TRGV7	T cell receptor gamma variable 7 (pseudogene) [Source:HGNC Symbol;Acc:12293]	7	38374642	38375115			
ENSG00000226212	ENSG00000226212.2	TRGV6	T cell receptor gamma variable 6 (pseudogene) [Source:HGNC Symbol;Acc:12292]	7	38380301	38380599			
ENSG00000228668	ENSG00000228668.1	TRGV5P	T cell receptor gamma variable 5P (pseudogene) [Source:HGNC Symbol;Acc:12291]	7	38384631	38385100			
ENSG00000211697	ENSG00000211697.2	TRGV5	T cell receptor gamma variable 5 [Source:HGNC Symbol;Acc:12290]	7	38388956	38389623			
ENSG00000211698	ENSG00000211698.2	TRGV4	T cell receptor gamma variable 4 [Source:HGNC Symbol;Acc:12289]	7	38393316	38394118			
ENSG00000211699	ENSG00000211699.2	TRGV3	T cell receptor gamma variable 3 [Source:HGNC Symbol;Acc:12288]	7	38398113	38398763			
ENSG00000233306	ENSG00000233306.2	TRGV2	T cell receptor gamma variable 2 [Source:HGNC Symbol;Acc:12287]	7	38402465	38403119			
ENSG00000211701	ENSG00000211701.2	TRGV1	T cell receptor gamma variable 1 (non-functional) [Source:HGNC Symbol;Acc:12284]	7	38407187	38407770			
ENSG00000242736	ENSG00000242736.1	TRBV1	T cell receptor beta variable 1 (pseudogene) [Source:HGNC Symbol;Acc:12176]	7	141999017	141999300			
ENSG00000226660	ENSG00000226660.2	TRBV2	T cell receptor beta variable 2 [Source:HGNC Symbol;Acc:12195]	7	142000747	142001255			
ENSG00000237702	ENSG00000237702.2	TRBV3-1	T cell receptor beta variable 3-1 [Source:HGNC Symbol;Acc:12212]	7	142008365	142008871			
ENSG00000211710	ENSG00000211710.3	TRBV4-1	T cell receptor beta variable 4-1 [Source:HGNC Symbol;Acc:12215]	7	142013007	142013489			
ENSG00000211734	ENSG00000211734.3	TRBV5-1	T cell receptor beta variable 5-1 [Source:HGNC Symbol;Acc:12218]	7	142020496	142021363			
ENSG00000211706	ENSG00000211706.2	TRBV6-1	T cell receptor beta variable 6-1 [Source:HGNC Symbol;Acc:12226]	7	142028121	142028610			
ENSG00000211707	ENSG00000211707.3	TRBV7-1	T cell receptor beta variable 7-1 (non-functional) [Source:HGNC Symbol;Acc:12235]	7	142032006	142032527			
ENSG00000211745	ENSG00000211745.3	TRBV4-2	T cell receptor beta variable 4-2 [Source:HGNC Symbol;Acc:12216]	7	142045252	142045816			
ENSG00000229200	ENSG00000229200.2	TRBV7-8	T cell receptor beta variable 7-8 [Source:HGNC Symbol;Acc:12242]	7	142099455	142099977			
ENSG00000211732	ENSG00000211732.1	TRBV6-9	T cell receptor beta variable 6-9 [Source:HGNC Symbol;Acc:12234]	7	142104121	142104553			
ENSG00000211731	ENSG00000211731.1	TRBV5-7	T cell receptor beta variable 5-7 (non-functional) [Source:HGNC Symbol;Acc:12224]	7	142111393	142111859			
ENSG00000253291	ENSG00000253291.1	TRBV7-7	T cell receptor beta variable 7-7 [Source:HGNC Symbol;Acc:12241]	7	142119820	142120321			
ENSG00000253534	ENSG00000253534.1	TRBV6-8	T cell receptor beta variable 6-8 [Source:HGNC Symbol;Acc:12233]	7	142124137	142124565			
ENSG00000211728	ENSG00000211728.2	TRBV5-6	T cell receptor beta variable 5-6 [Source:HGNC Symbol;Acc:12223]	7	142131412	142131918			
ENSG00000211727	ENSG00000211727.3	TRBV7-6	T cell receptor beta variable 7-6 [Source:HGNC Symbol;Acc:12240]	7	142139278	142139815			
ENSG00000253188	ENSG00000253188.1	TRBV6-7	T cell receptor beta variable 6-7 (non-functional) [Source:HGNC Symbol;Acc:12232]	7	142143652	142144084			
ENSG00000211725	ENSG00000211725.3	TRBV5-5	T cell receptor beta variable 5-5 [Source:HGNC Symbol;Acc:12222]	7	142148928	142149399			
ENSG00000227550	ENSG00000227550.2	TRBV7-5	T cell receptor beta variable 7-5 (pseudogene) [Source:HGNC Symbol;Acc:12239]	7	142157378	142157849			
ENSG00000211724	ENSG00000211724.3	TRBV6-6	T cell receptor beta variable 6-6 [Source:HGNC Symbol;Acc:12231]	7	142161931	142162407			
ENSG00000230099	ENSG00000230099.2	TRBV5-4	T cell receptor beta variable 5-4 [Source:HGNC Symbol;Acc:12221]	7	142168380	142169045			
ENSG00000253409	ENSG00000253409.1	TRBV7-4	T cell receptor beta variable 7-4 (gene/pseudogene) [Source:HGNC Symbol;Acc:12238]	7	142176329	142176790			
ENSG00000211721	ENSG00000211721.2	TRBV6-5	T cell receptor beta variable 6-5 [Source:HGNC Symbol;Acc:12230]	7	142180515	142181016			
ENSG00000211739	ENSG00000211739.4	TRBV12-2	T cell receptor beta variable 12-2 (pseudogene) [Source:HGNC Symbol;Acc:12184]	7	142190638	142191080			
ENSG00000229769	ENSG00000229769.2	TRBV10-2	T cell receptor beta variable 10-2 [Source:HGNC Symbol;Acc:12178]	7	142206511	142207011			
ENSG00000244661	ENSG00000244661.1	TRBV12-1	T cell receptor beta variable 12-1 (pseudogene) [Source:HGNC Symbol;Acc:12183]	7	142216290	142216732			
ENSG00000211720	ENSG00000211720.3	TRBV11-1	T cell receptor beta variable 11-1 [Source:HGNC Symbol;Acc:12180]	7	142223820	142224284			
ENSG00000211717	ENSG00000211717.3	TRBV10-1	T cell receptor beta variable 10-1(gene/pseudogene) [Source:HGNC Symbol;Acc:12177]	7	142231573	142232090			
ENSG00000211716	ENSG00000211716.2	TRBV9	T cell receptor beta variable 9 [Source:HGNC Symbol;Acc:12246]	7	142239537	142240058			
ENSG00000211715	ENSG00000211715.1	TRBV5-3	T cell receptor beta variable 5-3 (non-functional) [Source:HGNC Symbol;Acc:12220]	7	142242281	142242747			
ENSG00000239944	ENSG00000239944.1	TRBV8-2	T cell receptor beta variable 8-2 (pseudogene) [Source:HGNC Symbol;Acc:12245]	7	142245303	142245572			
ENSG00000211714	ENSG00000211714.3	TRBV7-3	T cell receptor beta variable 7-3 [Source:HGNC Symbol;Acc:12237]	7	142247109	142247615			
ENSG00000211713	ENSG00000211713.3	TRBV6-4	T cell receptor beta variable 6-4 [Source:HGNC Symbol;Acc:12229]	7	142250703	142251158			
ENSG00000242771	ENSG00000242771.1	TRBV5-2	T cell receptor beta variable 5-2 (pseudogene) [Source:HGNC Symbol;Acc:12219]	7	142259059	142259331			
ENSG00000243889	ENSG00000243889.1	TRBV8-1	T cell receptor beta variable 8-1 (pseudogene) [Source:HGNC Symbol;Acc:12244]	7	142273056	142273334			
ENSG00000211746	ENSG00000211746.3	TRBV19	T cell receptor beta variable 19 [Source:HGNC Symbol;Acc:12194]	7	142326363	142327046			
ENSG00000211747	ENSG00000211747.3	TRBV20-1	T cell receptor beta variable 20-1 [Source:HGNC Symbol;Acc:12196]	7	142334163	142334913			
ENSG00000251578	ENSG00000251578.1	TRBV21-1	T cell receptor beta variable 21-1 (pseudogene) [Source:HGNC Symbol;Acc:12198]	7	142344427	142344887			
ENSG00000240578	ENSG00000240578.1	TRBV22-1	T cell receptor beta variable 22-1 (pseudogene) [Source:HGNC Symbol;Acc:12200]	7	142349249	142349699			
ENSG00000211749	ENSG00000211749.1	TRBV23-1	T cell receptor beta variable 23-1 (non-functional) [Source:HGNC Symbol;Acc:12201]	7	142353468	142353964			
ENSG00000211750	ENSG00000211750.2	TRBV24-1	T cell receptor beta variable 24-1 [Source:HGNC Symbol;Acc:12203]	7	142364198	142364710			
ENSG00000211751	ENSG00000211751.3	TRBV25-1	T cell receptor beta variable 25-1 [Source:HGNC Symbol;Acc:12205]	7	142378572	142379076			
ENSG00000239992	ENSG00000239992.1	TRBVA	T cell receptor beta variable A (pseudogene) [Source:HGNC Symbol;Acc:12247]	7	142389237	142389691			
ENSG00000249912	ENSG00000249912.1	TRBV26	T cell receptor beta variable 26 (pseudogene) [Source:HGNC Symbol;Acc:12207]	7	142403511	142403995			
ENSG00000241911	ENSG00000241911.1	TRBVB	T cell receptor beta variable B (pseudogene) [Source:HGNC Symbol;Acc:12248]	7	142419212	142419752			
ENSG00000211752	ENSG00000211752.3	TRBV27	T cell receptor beta variable 27 [Source:HGNC Symbol;Acc:12208]	7	142423173	142423688			
ENSG00000211753	ENSG00000211753.2	TRBV28	T cell receptor beta variable 28 [Source:HGNC Symbol;Acc:12209]	7	142428484	142428984			
ENSG00000232869	ENSG00000232869.2	TRBV29-1	T cell receptor beta variable 29-1 [Source:HGNC Symbol;Acc:12210]	7	142448053	142448741			
ENSG00000211764	ENSG00000211764.1	TRBJ2-1	T cell receptor beta joining 2-1 [Source:HGNC Symbol;Acc:12168]	7	142494049	142494098			
ENSG00000211765	ENSG00000211765.1	TRBJ2-2	T cell receptor beta joining 2-2 [Source:HGNC Symbol;Acc:12169]	7	142494244	142494294			
ENSG00000211766	ENSG00000211766.1	TRBJ2-2P	T cell receptor beta joining 2-2P (non-functional) [Source:HGNC Symbol;Acc:12170]	7	142494381	142494426			
ENSG00000211767	ENSG00000211767.1	TRBJ2-3	T cell receptor beta joining 2-3 [Source:HGNC Symbol;Acc:12171]	7	142494531	142494579			
ENSG00000211768	ENSG00000211768.1	TRBJ2-4	T cell receptor beta joining 2-4 [Source:HGNC Symbol;Acc:12172]	7	142494682	142494731			
ENSG00000211769	ENSG00000211769.1	TRBJ2-5	T cell receptor beta joining 2-5 [Source:HGNC Symbol;Acc:12173]	7	142494803	142494850			
ENSG00000211770	ENSG00000211770.1	TRBJ2-6	T cell receptor beta joining 2-6 [Source:HGNC Symbol;Acc:12174]	7	142494923	142494975			
ENSG00000211771	ENSG00000211771.1	TRBJ2-7	T cell receptor beta joining 2-7 [Source:HGNC Symbol;Acc:12175]	7	142495140	142495186			
